variable,count,mean,std,min,25%,50%,75%,max
t2m_c_mean,45.0,24.834055555555555,0.8672341091078,23.41,23.9625,24.896666666666665,25.57333333333333,26.86
precip_mm_month_sum,45.0,1206.6531111111112,355.6552806556973,558.07,904.68,1178.19,1506.21,1870.65
food_production_index,62.0,53.020322580645164,32.27310665258289,17.87,23.25,46.03,79.06,119.85
cereal_yield_kg_per_ha,64.0,1194.1593750000002,325.95802471939277,607.8,958.475,1227.0,1512.125,1659.5
ag_value_added_pct_gdp,44.0,23.507761929104785,4.7432782930683155,12.240409246888,20.824584280601627,23.69241728507325,26.116751918182352,36.9650826661797
prevalence_of_undernourishment_pct,23.0,11.713043478260868,3.298250824001067,8.7,9.3,10.8,11.899999999999999,19.9
moderate_or_severe_food_insecurity_pct,9.0,55.34444444444445,15.483710077942488,34.7,42.8,53.5,69.7,74.8
